ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORDENADAS-ETRS89,COORDENADAS-WGS84,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,tipo,CANTIDAD_JUEGOS_POR_TIPO,CAPACIDAD_MAX
18208,Area_infantil,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[440125.627, 4466655.453]","[-3.70502839, 40.34830614]",Calle,Junco,003,28021.0,"Calle_junco, 003",11125439.0,2003-01-01T00:00:00Z,17039,AE21,20,Infantil,"{'Deportivas': 0, 'Infantiles': 4, 'Mayores': 0}",14
18210,Area_infantil,175,Angeles,17.0,Villaverde,Operativo,"[440404.918, 4466884.023]","[-3.70176128, 40.35038523]",Calle,Alcocer,044,28041.0,"Calle_alcocer, 044",11128367.0,2003-01-01T00:00:00Z,17040,AE21,8,Infantil,"{'Deportivas': 0, 'Infantiles': 4, 'Mayores': 0}",12
18212,Area_infantil,175,Angeles,17.0,Villaverde,Operativo,"[440484.83, 4466967.2]","[-3.7008281, 40.35114025]",Calle,Anoeta,045,28041.0,"Calle_anoeta, 045",31016861.0,2003-01-01T00:00:00Z,17042,AE21,4,Infantil,"{'Deportivas': 0, 'Infantiles': 6, 'Mayores': 0}",12
18214,Area_infantil,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[439493.129, 4466539.067]","[-3.71246456, 40.34721204]",Calle,Palomares,051,28021.0,"Calle_palomares, 051",11124814.0,2003-01-01T00:00:00Z,17044,AE21,7,Infantil,"{'Deportivas': 0, 'Infantiles': 4, 'Mayores': 0}",22
18216,Area_infantil,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[439180.127, 4466620.633]","[-3.71615764, 40.34792407]",Paseo,Ferroviarios,002,28021.0,"Paseo_ferroviarios, 002",31054963.0,2003-01-01T00:00:00Z,17046,AE21,9,Infantil,"{'Deportivas': 0, 'Infantiles': 6, 'Mayores': 0}",18
18218,Area_infantil,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[439083.79, 4467038.9]","[-3.71733185, 40.35168502]",Paseo,Plata_y_castañar,034,28021.0,"Paseo_plata_y_castañar, 034",20049347.0,2003-01-01T00:00:00Z,17048,AE21,6,Infantil,"{'Deportivas': 0, 'Infantiles': 2, 'Mayores': 0}",6
18221,Area_infantil,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[439858.741, 4466886.143]","[-3.70819252, 40.35036513]",Calle,Puebla_de_sanabria,018,28021.0,"Calle_puebla_de_sanabria, 018",31010349.0,2003-01-01T00:00:00Z,17050,AE21,5,Infantil,"{'Deportivas': 0, 'Infantiles': 2, 'Mayores': 0}",34
18223,Area_infantil,171,Villaverde_alto-casco_historico_de_villaverde,17.0,Villaverde,Operativo,"[439129.47, 4466476.585]","[-3.71674034, 40.34662271]",Paseo,Ferroviarios,037,28021.0,"Paseo_ferroviarios, 037",11124618.0,18223-FECHA_INSTALACION-incorrecta,17052,AE21,19,Infantil,"{'Deportivas': 0, 'Infantiles': 7, 'Mayores': 0}",25
18225,Area_infantil,174,Los_rosales,17.0,Villaverde,Operativo,"[441485.02, 4468238.34]","[-3.68916764, 40.36266219]",Avenida,Orovilla,035,28041.0,"Avenida_orovilla, 035",20061891.0,2003-01-01T00:00:00Z,17054,AE21,8,Infantil,"{'Deportivas': 0, 'Infantiles': 5, 'Mayores': 0}",7
18227,Area_infantil,174,Los_rosales,17.0,Villaverde,Operativo,"[441849.612, 4468064.228]","[-3.68485803, 40.36111919]",Calle,Unanimidad,023,28041.0,"Calle_unanimidad, 023",20062129.0,2003-01-01T00:00:00Z,17056,AE21,10,Infantil,"{'Deportivas': 0, 'Infantiles': 5, 'Mayores': 0}",8
